user_id,exercise1,exercise2,exercise3,date,time,user_mbti
a1,배드민턴,등산,야구,"월, 화, 수, 토, 일","이른 오전, 오전, 오후, 밤",INFJ
a2,태권도,축구,발야구,"월, 화, 금, 토, 일","이른 오전, 오전, 오후, 늦은 오후, 밤",ESFJ
a3,볼링,태권도,족구,"화, 수, 목, 금, 토","이른 오전, 오전, 오후, 저녁, 밤",ISFJ
a4,볼링,필라테스,배구,"월, 화","이른 오전, 오전, 저녁",INTP
a5,풋살,배드민턴,요가,"수, 금","이른 오전, 늦은 오후, 저녁",ISFJ
a6,요가,농구,탁구,"월, 화, 수, 목, 금, 토, 일","이른 오전, 저녁",ENTJ
a7,서핑,발야구,풋살,"목, 금, 일","오전, 오후, 늦은 오후, 밤",ENFJ
a8,스쿼시,필라테스,농구,"월, 화, 수, 목, 금, 토, 일","오전, 오후, 밤",ISTP
a9,크로스핏,태권도,유도,"월, 수, 토","이른 오전, 늦은 오후, 밤",INFP
a10,농구,인라인스케이트,피구,"월, 수, 금, 토","오전, 저녁",INFP
a11,유도,러닝,농구,"월, 수, 목, 금, 토","오전, 늦은 오후, 밤",ISTJ
a12,족구,유도,스노보드,"수, 금, 토",늦은 오후,INFP
a13,축구,태권도,탁구,"월, 금, 일",오전,ESTP
a14,요가,골프/스크린골프,서핑,"월, 수, 금, 일","이른 오전, 오후, 밤",ENTP
a15,농구,필라테스,아이스스케이트,"월, 목, 금","이른 오전, 오전, 오후, 늦은 오후",ISTJ
a16,서핑,사이클,요가,"월, 수","오전, 오후, 저녁",ESTJ
a17,배드민턴,클라이밍,피구,"화, 수, 목, 금, 토, 일","이른 오전, 오전, 오후, 저녁",ISTP
a18,풋살,필라테스,서핑,"월, 수, 금, 토, 일","이른 오전, 오후, 늦은 오후, 저녁",ISTJ
a19,야구,족구,헬스,토,"이른 오전, 오전, 오후, 늦은 오후, 저녁, 밤",ISFJ
a20,스노보드,주짓수,볼링,"화, 수, 목, 금, 토, 일","오전, 밤",ENFP
a21,골프/스크린골프,배드민턴,크로스핏,"월, 화, 수, 목","이른 오전, 밤",ISTP
a22,마라톤,복싱,인라인스케이트,"수, 금, 토","이른 오전, 오전, 오후, 늦은 오후, 저녁, 밤",INFJ
a23,배구,탁구,야구,"월, 화, 수, 목, 금, 토, 일","이른 오전, 오전, 오후, 늦은 오후, 저녁, 밤",ISTJ
a24,야구,등산,탁구,"화, 수, 목, 금, 일","이른 오전, 오전, 오후, 늦은 오후, 저녁, 밤",ENFJ
a25,유도,스키,러닝,"월, 화, 수, 목, 토, 일","오전, 오후, 저녁",ESFP
a26,골프/스크린골프,배구,사이클,"월, 화, 토, 일","오전, 저녁",ENFP
a27,피구,유도,아이스스케이트,"월, 화, 수, 목, 금, 토, 일","이른 오전, 오후, 늦은 오후",INTJ
a28,마라톤,스노보드,배구,"월, 화, 목, 금, 일","이른 오전, 오전, 늦은 오후, 저녁",ESTJ
a29,크로스핏,복싱,스노보드,"수, 토",밤,INFJ
a30,필라테스,스키,태권도,"목, 금, 일","오전, 늦은 오후, 저녁",ESFP
a31,보드,발야구,헬스,"화, 수, 목, 금, 일","이른 오전, 오후, 늦은 오후, 밤",ENTP
a32,테니스,필라테스,스키,"월, 화, 수, 목, 금, 토, 일","오전, 밤",ESTJ
a33,수영,러닝,배드민턴,화,"오전, 밤",ENFP
a34,주짓수,스키,태권도,"월, 화, 금, 토, 일",이른 오전,ISTJ
